Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background,Candidato,Tema
2018,1,31,,,,,,,Feriberto Galindo se une a la campaña,Suegro de Mikel Arriola se une como consejero polìtico,http://www.elfinanciero.com.mx/files/article_main/uploads/2018/01/31/5a71c26f2543d.jpg,El Financiero,"<a href=""http://www.elfinanciero.com.mx/nacional/suegro-de-mikel-arriola-se-suma-a-la-campana-de-meade.html""> Leer nota </a>",https://i.imgur.com/6pKqN8a.png,,Actores,,Meade,
2018,1,30,,,,,,,Meade y Mikel experimentan el tráfico,Realizaron un recorrido de la Condesa a Santa Fe en hora pico y miden el tiempo. Ambos prometieron instrumentar diferentes medidas para acortar los tiempos de trabajo. El recorrido recibió críticas en redes sociales.,https://twitter.com/JoseAMeadeK/status/958486250205229056,Twitter,"<a href=""https://www.eleconomista.com.mx/politica/Meade-y-Mikel-Arriola-experimentan-el-trafico-20180130-0157.html""> Leer nota </a>",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2018,1,30,,,,,,,"Columna de Meade ""Es la hora de las mujeres y las niñas""","Presenta 5 acciones a favor de las mujeres. Mismas que propuso en acaulpo, Guerrero. Habla sobre garantizar a las mujeres el ejercicio pleno de sus derechos y libertades, debido a que es una condición indispensable para el crecimiento y desarrollo cultural del país.",https://twitter.com/JoseAMeadeK/status/958177615268818950,Twiiter,"<a href=""https://www.elsoldemexico.com.mx/analisis/es-la-hora-de-las-mujeres-y-las-ninas-756160.html""> Leer nota </a>",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2018,1,31,,,,,,,Meade visita obras de AICM,"Meade defiende obras del aeropuerto, califico de ocurrencia la amenaza de AMLO de cancelar la obra. Advirtió que cancelalrlo sería incosntitucional y que se perdería la oportunidad de generar casi medio millón de empleos.",https://twitter.com/JoseAMeadeK/status/958887525350690816,Twitter,"<a href=""https://www.eleconomista.com.mx/politica/Meade-defiende-obras-del-nuevo-aeropuerto-20180131-0155.html"">Leer nota </a>",https://i.imgur.com/jWQQQY1.png,,Campaña,,Meade,
2017,12,12,,,,,,,Registro como Precandidato,Se registró como Precandidato a Presidente y tocó los ejes de su plan de gobierno,https://www.youtube.com/watch?v=Ce3RfrKn6Tk&feature=youtu.be,Youtube,"<a href=""https://www.youtube.com/watch?v=Ce3RfrKn6Tk&feature=youtu.be"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,13,,,,,,,"Firma alianza ""Juntos haremos historia""","Firmó la alianza y explicó porque van en conjunto y las características que los unen. Firman Andrés Manuel López Obrador, Alberto Anaya, presidente del PT y Eric Flores, presidente del PES",http://lopezobrador.org.mx/wp-content/uploads/2017/12/13-dic-2017-Firma-Alianza-06-1024x722.jpg,www.lopezobrador.org.mx,"<a href=""http://lopezobrador.org.mx/2017/12/13/firma-de-alianza-juntos-haremos-historiaentre-morena-pes-y-pt/"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
2017,12,13,10:26,,,,,,Debate sobre discurso de AMLO,Wradio invitó a dos personajes a su programa a hablar sobre el primer discurso de Pre campaña de Amlo. Uno en Favor y uno en contra,https://twitter.com/WRADIOMexico/status/940961626425044992,W radio,"<a href=""http://wradio.com.mx/programa/2017/12/13/asi_las_cosas/1513181922_230930.html"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,13,,,,,,,INE y televisoras deben garantizar elecciones limpias,Amlo habla sobre las campañas mediàticas en su contra.,http://www.animalpolitico.com/wp-content/uploads/2017/12/amlo-lopez-obrador-inseguridad-960x500.jpg,AMLO pagina oficial,"<a href=""http://lopezobrador.org.mx/secciones/comunicados/page/2/"">Leer nota</a>",https://i.imgur.com/TNn8sGO.png,,Entorno,,AMLO,
2017,12,14,11:26,,,,,,Entrevista a Mancera,Mancera criticó la propuesta de AMLO de darle apoyo económico a jovenes que no estudian ni laboral,https://www.eleconomista.com.mx/__export/1512421104237/sites/eleconomista/img/2017/09/17/informe-mancerita-notimex.jpg_73367373.jpg,Notimex,"<a href=""https://www.eleconomista.com.mx/politica/Inviable-propuesta-de-AMLO-de-dar-recursos-a-ninis-Mancera-20171213-0063.html"">Leer nota</a>",https://i.imgur.com/t46Q6PE.png,,Actores,,AMLO,
2017,12,14,12:43,,,,,,AMLO presenta gabinete,Presentó a los que serán sus secretarios,http://lopezobrador.org.mx/wp-content/uploads/2017/12/Gabinete08-770x539.jpg,AMLO pagina oficial,"<a href=""http://lopezobrador.org.mx/2017/12/14/presenta-amlo-gabinete-presidencial-2018-2024-video/"">Leer nota</a>",https://i.imgur.com/S9RVwJo.png,,Campaña,,AMLO,
